Num_Elementos,Tempo_Medio_Segundos
100,0.0000001502
400,0.0000001640
900,0.0000001552
1600,0.0000002758
2500,0.0000001396
3600,0.0000001720
4900,0.0000001668
6400,0.0000001908
8100,0.0000002134
10000,0.0000001878
12100,0.0000001876
14400,0.0000001838
16900,0.0000002348
19600,0.0000001858
22500,0.0000002784
25600,0.0000002452
28900,0.0000001992
32400,0.0000002004
36100,0.0000002684
40000,0.0000001778
44100,0.0000001840
48400,0.0000001940
52900,0.0000001854
57600,0.0000001790
62500,0.0000002120
67600,0.0000002536
72900,0.0000002118
78400,0.0000002014
84100,0.0000002110
90000,0.0000002098
96100,0.0000002160
102400,0.0000002602
108900,0.0000002204
115600,0.0000002208
122500,0.0000002292
129600,0.0000002420
136900,0.0000002346
144400,0.0000002732
152100,0.0000002146
160000,0.0000002244
168100,0.0000002212
176400,0.0000002332
184900,0.0000002328
193600,0.0000003014
202500,0.0000002540
211600,0.0000002786
220900,0.0000002756
230400,0.0000002974
240100,0.0000002908
250000,0.0000002932
